Longitud (m);Ancho de Puente (m);Sep Vigas Longitudinales (m);N° Paneles;Altura (m);Disposicion de Arriostre;Forma de Arriostre;Dim. Arriostre;Forma de Cordones;Dimension de Cordon Sup/Inf;Forma de Diagonales;Dim. Diag. S/I;Forma de Montante;Dim. Montante;Peso total (ton)
58;11.6;2.1;6;6.7;Cruz;T;150x150x12.5;Cajon HSS;409x419x19.0;Cajon HSS;390x400x16.0;Cajon HSS;210x210x12.5;129.91
58;11.6;2.1;6;6.7;Cruz;L;150x150x12.5;Cajon HSS;419x429x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;133.3
58;11.6;2.1;6;6.8;Cruz;T;150x150x12.5;Cajon HSS;429x439x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;136.78
58;11.6;2.1;6;6.8;Cruz;L;150x150x12.5;Cajon HSS;439x409x19.0;Cajon HSS;420x390x16.0;Cajon HSS;210x210x12.5;133.39
59;11.6;2.1;6;5.9;Cruz;T;150x150x12.5;Cajon HSS;412x422x19.0;Cajon HSS;390x400x16.0;Cajon HSS;210x210x12.5;131.75
59;11.6;2.1;6;5.9;Cruz;L;150x150x12.5;Cajon HSS;422x432x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;135.18
59;11.6;2.1;6;6;Cruz;T;150x150x12.5;Cajon HSS;432x442x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;138.7
59;11.6;2.1;6;6;Cruz;L;150x150x12.5;Cajon HSS;442x412x25.0;Cajon HSS;420x390x19.0;Cajon HSS;210x210x12.5;164.08
59;11.6;2.1;6;6.1;Cruz;T;150x150x12.5;Cajon HSS;412x422x19.0;Cajon HSS;390x400x16.0;Cajon HSS;210x210x12.5;131.93
59;11.6;2.1;6;6.1;Cruz;L;150x150x12.5;Cajon HSS;422x432x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;135.36
59;11.6;2.1;6;6.2;Cruz;T;150x150x12.5;Cajon HSS;432x442x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;138.89
59;11.6;2.1;6;6.2;Cruz;L;150x150x12.5;Cajon HSS;442x412x25.0;Cajon HSS;420x390x19.0;Cajon HSS;210x210x12.5;164.3
59;11.6;2.1;6;6.3;Cruz;T;150x150x12.5;Cajon HSS;412x422x19.0;Cajon HSS;390x400x16.0;Cajon HSS;210x210x12.5;132.11
59;11.6;2.1;6;6.3;Cruz;L;150x150x12.5;Cajon HSS;422x432x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;135.54
59;11.6;2.1;6;6.4;Cruz;T;150x150x12.5;Cajon HSS;432x442x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;139.07
59;11.6;2.1;6;6.4;Cruz;L;150x150x12.5;Cajon HSS;442x412x25.0;Cajon HSS;420x390x19.0;Cajon HSS;210x210x12.5;164.52
59;11.6;2.1;6;6.5;Cruz;T;150x150x12.5;Cajon HSS;412x422x19.0;Cajon HSS;390x400x16.0;Cajon HSS;210x210x12.5;132.28
59;11.6;2.1;6;6.5;Cruz;L;150x150x12.5;Cajon HSS;422x432x19.0;Cajon HSS;400x410x16.0;Cajon HSS;210x210x12.5;135.73
59;11.6;2.1;6;6.6;Cruz;T;150x150x12.5;Cajon HSS;432x442x19.0;Cajon HSS;410x420x16.0;Cajon HSS;210x210x12.5;139.26
59;11.6;2.1;6;6.6;Cruz;L;150x150x12.5;Cajon HSS;442x412x25.0;Cajon HSS;420x390x19.0;Cajon HSS;210x210x12.5;164.74
